作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
滨虹集印存序,篆刻,篆刻,1902,滨虹集印存序,evt_00415,《滨虹集印存序》：“夫王俅集印谱录谁稽，吾衍编书品自碻。冻石珍逾铜玉，闲章羼入诗词，变格标新，遗制就沫，繇兹而论，耆古所欷。不佞行箧捜残，临池学瑑。汉、魏之古鼎，不眩乎甘才；文、何以还，裘类成于集腋。虽或寥寥数纽，落落几人，菭斑锈涩，半蚀虫鱼，石隐孤畸，尽弢姓字，苟典型之不泯，斯裒集而靡遗。要亦文豹一斑，莫窥管之陋，神骏千里，或蕲按图可索也。光绪癸卯仲春，潭滨黄贽。”
叙造墨,篆刻,篆刻,1908,叙造墨,evt_00499,邓实得寄沪自拓印谱，以及供《国粹学报》制版用的古代书画和赠画后，复信催《叙造墨》续稿，并约撰画论。
疏林淡山图,作画,其他,1908,疏林淡山图,evt_00504,秋日，作《疏林淡山图》。
中国画变革的语言资源——20世纪初叶中的一些证例考析,作画,山水,1909,中国画变革的语言资源——20世纪初叶中的一些证例考析; 扬子江马当山砲垒图; 蜀中山水; 北海之滨; 画法要录,evt_00526,存考：自此开始，直至1941年蔡守谢世，其间悠悠三十二年，黄宾虹和蔡守的交谊不绝如缕。综观三十二年岁月的交谊，大抵可以作如下的表述：相识之初，蔡守较之黄宾虹占有明显的优势，这种优势体现在他有更为广泛的社会关系和更早投身于文化事业的经历，起步更早的艺术探索在某种程度上影响并启迪了文化领域的新人黄宾虹；但是，随着时间的推移，两者地位发生了变易，优势很快转化到黄宾虹那里，可以说在其后大部分岁月里，蔡守为黄宾虹的艺术折服，成为黄宾虹艺术的忠诚追随者。1912年黄宾虹《真相画报叙》有以下一段话曾经长期令人迷惑不解：“尝拟偕诸同志，遍历海岳奇险之区，携摄影器具，收其真相，远法古人，近师造物，图于楮素，足迹
雪味厂图,作画,其他,1909,雪味厂图,evt_00527,春日，为蔡哲夫作《雪味厂图》。
檀干村图,作画,其他,1909,檀干村图,evt_00529,暮春，为许承尧画《檀干村图》。
蒹葭图,作画,其他,1909,蒹葭图,evt_00535,夏，为黄节作《蒹葭图》。
国学萃编,作画,其他,1909,国学萃编; 荔支湾送别图,evt_00537,9月，潘飞声应沈宗畸（太侔）之请，赴京与编《国学萃编》，出广州，道经香港上海。与邓实、蔡守邀其饮于酒楼，潘氏赠诗为别。潘氏出伍德彝绘《荔支湾送别图》卷请为题跋，
荔支湾送别图,篆刻,人物,1909,荔支湾送别图,evt_00539,题《荔支湾送别图》：“潘君倜傥今名流，才华富有非凡俦。言筌往往得肯綮，奏刀目已无全牛。鸡林曩日贵声价，亦有蒲轮重相迓。僊居挹娄矗九梯，异数不数星轺下。君昔朱颜今鬓霜，横秋老气工文章。京华人物盛繁富，好为祖国扬休光。逢君海上时方暑，羽扇挥风汗如雨。六桥三竺纪游踪，虎阜狮林结吟侣。扁舟载酒兴自豪，花间醉饮琼楼高。胸中丝竹会陶写，文思不涸词滔滔。年华感嘅秋风易，北燕南鸿迫人事，愿当更作岁寒盟，松柏青青比君子。兰史词丈先生将有北行，出纸属题，率成里句，聊以赠之，即希哂正。潭上质拜稿。”
惠山访听松石图,作画,其他,1909,惠山访听松石图,evt_00543,夏，为潘飞声作《惠山访听松石图》。
西泠泛櫂图,作画,其他,1909,西泠泛櫂图,evt_00546,夏，为潘飞声作《西泠泛櫂图》，并录其诗。
浅绛新安山水图册,作画,山水,1909,浅绛新安山水图册,evt_00557,己酉七月，挥汗为李可亭作《浅绛新安山水图册》，署“己酉七月潭上质”、“朴居士”。邓实题识称其画“视诸（新安）先辈，几有出蓝之妙”。
上海书画研究会简章,书法,其他,1910,上海书画研究会简章; 上海的学艺团体,evt_00600,《上海书画研究会简章》：“中国古今书画，擅绝艺林，久为东西人士所推服。自经兵燹，宋元名迹仅有存者，即胜国及本朝法书名画，亦毁失过半，海内收藏家珍秘过甚，后学未易观摩，间有一二流传，动索重价，辄为海外人所得，古法日湮，俗习竞效，书画一道，遂致每下愈况，良可慨也。上海为交通之地，文人学士，居处往来，以书画专长者颇众，四方求索，深苦烦劳，其有高自标置者，延访无从，遐音终閟，致为缺憾。本会以提倡研究，承接收发为宗旨，爰集海上同志，就小花园商余雅集楼上设立会所，公同推选书画家、收藏家、赏鉴家随时晤叙，互相考证，以为保存国粹之一助，略具简章于左：一、本会公举李君平书为总理，哈君少夫、毛君子坚为协理，赵君云
九歌图册,作画,山水,1910,九歌图册; 离骚·九歌,evt_00625,题江蓉《九歌图册》：“有明仇十洲画《离骚·九歌》，向藏余族茨荪太史家，咸丰兵乱散失，后归朱丈寄洲。寄洲收庋极富，然以此册为压卷，余过其斋，恒出册以夸示。且以为通缋事如余族中凤六、柳溪诸公皆能广睹古今名迹，故笔笔有来历。郡城江丈莲峰，幼通书史，工吟咏，所游江淮间，王小某、释莲溪皆极称之，而与陈若木交谊尤笃。及归黄山，皤皤黄发，时与寄洲丈为文酒之乐。余以治农田水利之暇，得时时闻诸先生之议论。今寄洲、莲峰已归道山，而余出旅沪，眴将两载。哲夫道兄工书善画，获斯册子，展玩久之，人事变易，曾不十年，已足深人今昔之感，为此题之，不胜怃然。黄山黄质。”（广州中国艺术博览会1995年拍卖图录）
广雅书院图,作画,其他,1911,广雅书院图,evt_00643,作《广雅书院图》赠黄节，黄节作诗以报。
荀楼画谈,篆刻,其他,1911,荀楼画谈; 古玺印铭并序,evt_00655,9月2日，《荀楼画谈》开始在神州日报连载，署名“濒虹”、“宾鸿”。同时刊出的还有《古玺印铭并序》。连载未完，因革命起而中辍。
宝铁研斋图,作画,其他,1911,宝铁研斋图,evt_00657,是际，为哈少甫（少夫）作《宝铁研斋图》。
黄宾虹十事考：文美盛会,作画,山水,1912,黄宾虹十事考：文美盛会; 贞社时代; 1947年中国美术年鉴; 上海学艺概况; 上海学艺团体,,
竹西芳径,作画,山水,1912,竹西芳径; 文艺消息; 秋夜; 马（码）头夜泊; 大人有梦,,
