作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
蜀游草,题跋,其他,1934,蜀游草,evt_02990,与吴一峰书：“一峰先生大鉴：华阳一别，眴已两年，顷诵惠书，欣喜无量。台端英年壮志，万里从戎，剑门风景，绘之图画，广为流传，健羡健羡。仆自蜀中经广安、重庆，节节受厄，饱尝逆旅苦楚，迟迟返沪，已阅数月，回溯人情险巇，犹堪骇汗。以视大才应世，事事亨通，奚啻天壤。幸而旧交爱我，时有垂青，仍得优游于金石书画中寻乐，差堪自慰，可为不思蜀也。拙题坿奉（拙作《蜀游草》及木刻画集另寄上）。此询台绥。黄宾虹拜上。十一月廿四日。（燕尔之喜，何不附及，念念。一禅恙谅就痊，无通讯处，怅甚。敝寓迁移新址：上海西门路二一六号黄寓。）”
谈画法,著述,山水,1934,谈画法; 艺舟双楫; 书眼; 艺舟双楫; 书眼,evt_02993,陈柱《谈画法》：“临川书家黄穉棠（鸿图）先生，以书名闻海内久矣，与余论书，邮筒往来，亦已屡矣。顷游海上，余觞之于酒家，黄山黄宾虹先生亦在座，当代画家兼书家也。客有嗜书法者，问于穉翁曰：‘先生书法，穷极篆籀之变，以上追殷，而下及秦汉，以之驰骤魏晋六朝南北各家，如王良不失其驰，舍矢如破也，其道何由？’穉翁曰：‘吾何敢！吾何敢！虽然，今为子略言书法之源流，与夫文质派别之说，请就正焉。夫夏尚忠，商尚质，周尚文，其说旧矣。而夫子则曰：‘虞夏之质，殷周之文，至矣。’又曰：‘虞夏之文，不胜其质，殷周之质，不胜其文。’何其与商质周文之言相反如是邪？盖夫子之言，固亦有说，固与商质周文之言互相发明者也。夫文由质生
上海美专秋季画展与音乐会,作画,山水,1934,上海美专秋季画展与音乐会,evt_02998,《上海美专秋季画展与音乐会》：“上海美术专科学校二十三周年纪念举行新校舍奠基礼，同时举行秋季绘画习作展览会，陈列西画风景、人体、木炭、水彩，国画山水、花卉计二十余室，都千余点，国画与西画、教育如王济远、黄宾虹、诸闻韵、倪贻德、张弦、刘抗、王远勃、吴茀之、汪声远等，皆有最近之杰构。（下略）”（11月29日申报）
蜀游图,作画,其他,1934,蜀游图,evt_03005,本年作《蜀游图》赠汪律本。
伦敦通讯-刘海粟致贺天健、午昌、宾虹,著述,其他,1935,伦敦通讯-刘海粟致贺天健、午昌、宾虹; 东方绘画史,evt_03028,《伦敦通讯-刘海粟致贺天健、午昌、宾虹》：“天健、午昌二兄如晤：久疏音讯，渴想殊殷。承赐《国画月刊》，不胜感谢。时人流行语为艺术而艺术，似无如之何！艺术则不求甚解，而艺术自身之价值，又不求甚解。兄等负宣导艺术之责，能以国画之原理，一一论定其价值，与艺坛时贤欣赏之是非之，此有阐扬艺学之精者也，佩服佩服！去年弟在柏林展画，获得相当成功后，又应汉堡敏与莱因河各省、荷兰、瑞士、捷克各国之请，巡回展览，所至欢迎若狂，大都政府、名流、硕学、通儒为之倡率，一唱百和，吸集欧洲艺坛视线。弟刻有来英筹备现代画展。英伦为世界文化中枢，尤关重要。兹进行数日，已得英学术名流热烈赞助，并勘定新百灵顿画院为会场。迩来英伦各
画家李竹瑞作品展,作画,山水,1935,画家李竹瑞作品展,evt_03035,《画家李竹瑞作品展》：“绍兴李竹瑞君，精绘事，山水尤其擅长，清末就幕蜀中，嗣遂税居成都，以绘画自遣，现年已七十余，造诣之深，世所罕觏。其所作山水，气魄磅礴，六法俱备，徐悲鸣曾题其一帧，谓‘皴点浑古，入眼新奇，当世大江南北，无此等人物’，又黄宾虹氏亦尝称其‘六法精通，当代无双’，惜以僻居蜀中，遂为世人所少见。近因□□□□，李君乃避乱来沪，友人有劝其问世者，先生以年事已高，沪上系暂寓，不久拟返川。近日京中寳文斋书画展览会开幕，友人丐其数帧陈列，如峨嵋写景、巫峡写实、匡庐诸作，并皆精品。李君寓上海西门路永裕里四八号，世有爱好艺术之士，当以一见为荣也。”（3月22日申报）
黄山琴棋书画社征求拟定名称、撰述序文,著述,山水,1935,黄山琴棋书画社征求拟定名称、撰述序文,evt_03049,《黄山琴棋书画社征求拟定名称、撰述序文》：“前任安徽第十区专员刘健中君，前在海上曾与过旭初、黄宾虹、江振华诸君发起一种组织，暂定黄山琴棋书画社，嗣由陈小蝶君拟一名称曰‘双溪社’，现又有徐传友君拟名为‘佛光社’，程管侯君拟名‘艺术社’，以谋扩范围，以上四种公称，胥未决定，兹由过君委托本报宣布以上情形，代为征求诸大文坛，于此四种名称之外，定一名称，并撰序一篇，交由本报代收转寄。如所撰文件能合该社诸公之意，定有相当之酬报云。”（6月6日沪黄报创刊号）
暮色,篆刻,山水,1935,暮色; 江山野雨图,evt_03052,《王济远返沪谈在菲举行书画展览经过△菲人对于中国艺术颇少认识△菲大美术院长特交换画一幅△并拟遣派学生来华研究美术》：“上海美术专科学校副校长王济远氏此次赴菲举行中国现代书画展览会业已完毕，于日前偕赴菲观光团同时返沪。上海社记者昨特往访王氏于寓所，据该画展经过及菲地艺术情形如下：△展览经过：王氏谈此次赴菲举办展览，目的在沟通中菲文化，敦驾友邦友谊，并借此筹款建筑美专新校舍，携带作品共计书画三百件，于上月十三日在马尼剌东方俱乐部及中华青年会两处举行。开幕之日，各国领事亲来参加典礼，颇为隆重，参观者亦拥挤异常，原定至十八日闭幕，旋应各界要求延期至二十三日闭幕，售去书画约两百件，余件由华侨教育会代为管
黄山全景图卷,作画,山水,1935,黄山全景图卷,evt_03057,3月，张善孖将代表黄社赴南洋举办巡回展览，作《黄山全景图卷》，与许承尧、吴湖帆、叶恭绰、谢公展等为之题跋，以壮行色。
黄宾虹画集,出版,其他,1935,黄宾虹画集,evt_03080,4月，大众出版社编印中国当代名家画集四十卷，《黄宾虹画集》出版发行。
